부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,4.1,29,8.6,41.7,14,2.6,0.8,17.4,59.1
공산품,16.8,510.3,235.2,762.3,128.4,83.7,456.5,668.6,1430.9
서비스,5.4,209.1,427.3,641.8,718.2,308.4,78.5,1105.1,1746.9
중간투입계,26.3,748.4,671.1,1445.8,860.6,394.7,535.8,1791.1,3236.9
