bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand
Finance and insurance,785,148,730,832,575,194,2114,438,1360,1226,2964,847,1829,2497,208,549,993,439,3667,6145,1852,1674,1638,21944,14200,3400,267,3282,1415,2169,436,1173,0,81990,58656,0,0,0,0,0,2560,61216,143206
Real estate services,44,6,214,351,145,141,347,68,330,234,224,233,131,343,111,425,130,304,531,12006,1026,5532,1390,5321,4699,4519,981,814,1825,2329,567,1199,38,46558,102756,0,23290,15,0,0,385,126446,173004
"Professional, scientific, and technical services",670,156,3105,1204,792,2481,9361,1119,4006,2102,6816,2835,2498,6850,614,1378,1314,704,15759,11143,2185,1666,7675,4319,915,8809,2283,1629,2224,710,897,588,51,108858,2813,0,52702,8892,0,0,14239,78646,187504
Business support services,119,115,360,331,330,479,991,209,1206,689,1540,454,392,3669,104,1673,736,460,5663,6766,6563,890,3986,6569,6538,6115,4281,2799,1807,957,1635,370,65,68861,3479,0,0,0,0,0,7866,11345,80206
"Public administration, defense, and social security services",82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,1909,2445,1213,107307,0,0,0,0,34,108554,110999
Education services,3,1,22,7,14,23,83,15,58,65,43,43,53,39,2,111,16,9,40,482,41,44,74,235,57,202,35,4,45,10,13,51,11,1951,50067,53985,0,0,0,0,153,104205,106156
Health and social care services,107,10,91,62,63,39,214,47,120,170,145,99,180,245,29,140,50,76,329,978,170,359,230,469,120,531,180,66,265,558,131,110,13,6396,41159,59887,0,0,0,0,332,101378,107774
"Art, sports, and leisure services",50,17,55,60,55,49,176,37,147,133,74,60,102,68,17,106,26,40,138,318,551,86,1126,365,115,757,141,50,523,122,1098,189,11,6862,29847,1722,427,0,0,23,929,32948,39810
Other services,91,18,155,78,75,114,258,93,230,228,531,189,257,205,22,300,58,150,370,1596,2098,332,415,673,213,1198,622,201,832,229,316,355,14,12516,35997,0,0,0,0,0,548,36545,49061
Others,265,11,57,40,48,77,546,27,79,102,161,82,95,70,19,256,64,13,89,208,182,68,180,100,184,118,76,25,21,326,22,30,67,3708,-285,0,0,0,0,0,0,-285,3423
Total intermediate input,25095,1781,81289,56363,26202,65784,154026,24243,87610,57327,165493,58969,78401,185360,12907,27808,51143,8010,116075,100254,76279,77066,55526,57765,40349,81649,20540,24880,32081,50272,16143,26928,3423,1947041,717235,223945,364101,64207,5968,1686,641917,2019059,3966100
Compensation of employees,4719,625,8915,6675,5377,1230,19286,4180,7986,14793,22880,8938,17062,21587,2663,16936,4548,4026,59283,61925,26805,22543,24085,33845,11216,57135,28133,53615,61554,41977,7047,13603,0,675192,0,0,0,0,0,0,0,0,0
Net operating surplus,20249,1026,5074,4545,5066,10100,29512,3702,8317,14486,24714,7919,9649,3666,1653,8714,13785,1997,8331,43530,7688,9125,19042,35833,62975,16177,14314,-340,1226,8677,4752,3880,0,409384,0,0,0,0,0,0,0,0,0
Consumption of fixed capital,4346,320,3437,1926,999,2475,14489,2884,7360,2438,37208,8983,5897,13909,106,907,11254,3127,3640,6787,18517,2551,18962,6575,32183,10304,3875,32324,9185,5997,3764,1973,0,278702,0,0,0,0,0,0,0,0,0
Taxes on production and products less subsidies,549,-56,10664,1527,783,19047,2419,520,581,758,2415,862,936,6487,710,439,2367,51,12912,9264,-2718,6852,3643,6506,24756,1759,1623,3,122,191,4379,2141,0,122492,0,0,0,0,0,0,0,0,0
Total value added,29863,1915,28090,14673,12225,32852,65706,11286,24244,32475,87217,26702,33544,45649,5132,26996,31954,9201,84166,121506,50292,41071,65732,82759,131130,85375,47945,85602,72087,56842,19942,21597,0,1485770,0,0,0,0,0,0,0,0,0
Total input,54958,3696,109379,71036,38427,98636,219732,35529,111854,89802,252710,85671,111945,231009,18039,54804,83097,17211,200241,221760,126571,118137,121258,140524,171479,167024,68485,110482,104168,107114,36085,48525,3423,3432811,0,0,0,0,0,0,0,0,0
