bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand
"Computing machinery, electronic equipment and optical instruments",95103 ,6162 ,118276 ,79964 ,75246 ,306001 ,399931 ,65471 ,304563 ,495168 ,46505856 ,4036050 ,2787428 ,4201398 ,97614 ,1506605 ,494016 ,168905 ,1267767 ,1326502 ,602209 ,415330 ,1996023 ,647788 ,348563 ,5060447 ,386996 ,383338 ,860525 ,1384388 ,271883 ,1735187 ,93020 ,78523723 ,16736079 ,0 ,9601519 ,2078305 ,1495715 ,0 ,173778220 ,203689838 ,282213561 
Electrical equipment,104158 ,18050 ,31770 ,75014 ,58492 ,147846 ,231154 ,133893 ,238905 ,602162 ,4662290 ,13236585 ,3780134 ,9669283 ,165900 ,982341 ,1147283 ,183105 ,9106412 ,652138 ,1002847 ,737456 ,1377639 ,274102 ,334597 ,1771711 ,483877 ,298182 ,387992 ,215173 ,267583 ,1252434 ,42077 ,53672585 ,3941220 ,0 ,7869558 ,159122 ,467069 ,0 ,29563586 ,42000555 ,95673140 
Machinery and equipment,211098 ,102706 ,153088 ,47071 ,65989 ,894543 ,2761630 ,345219 ,951360 ,2676111 ,1339061 ,1454637 ,16912506 ,6731490 ,74980 ,1497085 ,182956 ,511132 ,4576021 ,160316 ,228993 ,78889 ,59045 ,49934 ,118440 ,769334 ,113378 ,148400 ,226967 ,83786 ,56405 ,182441 ,23074 ,43788085 ,1075109 ,0 ,31579151 ,340014 ,322287 ,0 ,47905261 ,81221822 ,125009907 
Transport equipment,261533 ,63401 ,23227 ,22750 ,43742 ,89682 ,212230 ,152730 ,113421 ,182258 ,19394 ,60295 ,790782 ,64079681 ,14034 ,915742 ,21570 ,139787 ,84069 ,368385 ,5675200 ,32133 ,93007 ,41370 ,19983 ,471476 ,228587 ,650139 ,97527 ,138409 ,89107 ,4599712 ,19287 ,79814650 ,23870929 ,0 ,16117336 ,5769067 ,2745020 ,0 ,129660499 ,178162851 ,257977501 
Other manufactured products,9022 ,1458 ,214881 ,105154 ,21896 ,6717 ,22906 ,6643 ,15893 ,31447 ,42001 ,17214 ,31457 ,49521 ,525949 ,270617 ,6003 ,34544 ,1651854 ,440732 ,162559 ,815571 ,305584 ,354526 ,546064 ,979751 ,328359 ,339345 ,1927074 ,289456 ,517706 ,340990 ,58237 ,10471131 ,3492803 ,0 ,2052940 ,233593 ,202951 ,937870 ,2755210 ,9675367 ,20146498 
Manufacturing services and repair services of industrial equipment,181853 ,104828 ,2958727 ,9191029 ,1417538 ,241598 ,4921374 ,822993 ,2421888 ,3858282 ,6511984 ,2383725 ,4987821 ,8413821 ,950473 ,4607074 ,226910 ,224127 ,536539 ,248797 ,118990 ,29140 ,217953 ,89874 ,32260 ,257811 ,328328 ,152374 ,263775 ,1555735 ,68141 ,30238 ,33106 ,58389106 ,26446 ,0 ,0 ,0 ,0 ,0 ,2788269 ,2814715 ,61203821 
"Electricity, gas, and steam supply",740687 ,97150 ,1183290 ,1090445 ,1435459 ,1866591 ,6098458 ,1663192 ,6854752 ,1899921 ,3904092 ,886939 ,1248264 ,1844598 ,229043 ,899584 ,12460622 ,990551 ,815361 ,3671570 ,1914775 ,2106824 ,1334329 ,1107267 ,1642909 ,6772160 ,411253 ,1224085 ,3760042 ,2805770 ,1118393 ,815310 ,98311 ,74991997 ,17691378 ,0 ,0 ,0 ,0 ,0 ,116665 ,17808043 ,92800040 
"Water supply, sewage and waste treatment and disposal services",75117 ,11948 ,370002 ,228842 ,470403 ,77550 ,1660396 ,327492 ,2766249 ,406784 ,128403 ,100621 ,528168 ,172101 ,26616 ,98528 ,101727 ,587739 ,120627 ,96136 ,281857 ,1305866 ,196042 ,250965 ,650527 ,521258 ,199799 ,368374 ,556797 ,1047680 ,190517 ,322893 ,24006 ,14272030 ,3400787 ,1165711 ,0 ,0 ,0 ,0 ,383045 ,4949543 ,19221573 
Construction,74434 ,13963 ,63756 ,26110 ,26263 ,50048 ,178492 ,31801 ,144408 ,95193 ,114749 ,115480 ,84550 ,107909 ,12225 ,32964 ,331618 ,35057 ,64588 ,257363 ,175756 ,199922 ,263307 ,80111 ,7246477 ,470330 ,94201 ,571760 ,170106 ,74969 ,91427 ,66768 ,32326 ,11398431 ,0 ,0 ,165908820 ,47566824 ,-1422185 ,0 ,165061 ,212218520 ,223616951 
Wholesale and retail trade and commodity brokerage services,2414324 ,55445 ,8816330 ,6230461 ,2007580 ,864819 ,8142385 ,1204711 ,2495930 ,3035447 ,8327911 ,3679454 ,4446011 ,11614860 ,1587345 ,1909715 ,570809 ,341867 ,7361167 ,10097572 ,2419683 ,11820966 ,8209597 ,845584 ,444306 ,3679174 ,1112534 ,1395683 ,2066104 ,9068926 ,1539585 ,3268214 ,158980 ,131233479 ,78971850 ,0 ,11056000 ,707083 ,1227459 ,318400 ,24133371 ,116414163 ,247647642 
Transportation,626503 ,528816 ,4208239 ,2127122 ,1887681 ,938097 ,7434519 ,4189657 ,3669795 ,2247398 ,4326693 ,1986288 ,2978302 ,4008498 ,589319 ,996142 ,256443 ,1112366 ,1879289 ,15890715 ,8854509 ,791573 ,2152883 ,706355 ,447312 ,3297750 ,1311470 ,2024411 ,417803 ,465626 ,368081 ,650302 ,4029 ,83373986 ,19621701 ,0 ,240833 ,63687 ,81459 ,7879 ,37954966 ,57970525 ,141344511 
Food services and accommodation,430363 ,75727 ,418143 ,513616 ,428742 ,305279 ,1402347 ,329180 ,777199 ,869663 ,1020268 ,454600 ,889432 ,867236 ,168341 ,1413407 ,234032 ,305226 ,764559 ,8861513 ,1482282 ,921382 ,2044544 ,3456249 ,1014643 ,6215031 ,2150272 ,1851243 ,6383637 ,3227306 ,1357480 ,2867277 ,230108 ,53730327 ,71153608 ,0 ,0 ,0 ,0 ,0 ,7042220 ,78195828 ,131926155 
Communications and broadcasting,177392 ,19417 ,227314 ,188286 ,230278 ,394943 ,648610 ,208830 ,434528 ,459369 ,1216372 ,350246 ,402058 ,490965 ,89973 ,452798 ,125789 ,320005 ,433825 ,10030556 ,1623141 ,923474 ,16312499 ,8334772 ,721178 ,15946093 ,1754875 ,2383706 ,3305732 ,516624 ,1484298 ,965449 ,93173 ,71266568 ,31053321 ,0 ,27315764 ,232113 ,17467 ,0 ,5527599 ,64146264 ,135412832 
Finance and insurance,863585 ,162563 ,795945 ,917147 ,631409 ,208643 ,2317846 ,479133 ,1496106 ,1344315 ,3268451 ,925327 ,2010970 ,2740117 ,227278 ,601223 ,1096273 ,482099 ,4003273 ,6725383 ,2031216 ,1841014 ,1797171 ,23477208 ,15482614 ,3738367 ,287263 ,3600467 ,1554610 ,2371497 ,470081 ,1286704 ,0 ,89235298 ,64830865 ,0 ,0 ,0 ,0 ,0 ,2859010 ,67689875 ,156925173 
Real estate services,48875 ,6609 ,237061 ,387859 ,160476 ,145515 ,349756 ,75567 ,366262 ,260213 ,225702 ,253345 ,140064 ,311478 ,122427 ,474725 ,145310 ,339393 ,591315 ,13047491 ,1129994 ,6140268 ,1529402 ,5922109 ,5244400 ,4937081 ,1055810 ,562634 ,2037488 ,2598847 ,625916 ,1338131 ,42034 ,50853557 ,114188760 ,0 ,26009160 ,16275 ,0 ,0 ,429765 ,140643960 ,191497517 
"Professional, scientific, and technical services",729468 ,172389 ,3225976 ,1222494 ,812810 ,2497395 ,9279865 ,1188029 ,3870917 ,2150268 ,5208922 ,2706234 ,2300649 ,5659492 ,646726 ,1527347 ,1387823 ,763437 ,16515689 ,10736343 ,2129052 ,1711141 ,6741130 ,3882836 ,944439 ,7859532 ,2220998 ,1623141 ,2374502 ,744463 ,843991 ,614603 ,56421 ,104348522 ,3135470 ,0 ,53459554 ,9679165 ,0 ,0 ,15901469 ,82175658 ,186524180 
Business support services,114644 ,125056 ,352703 ,316335 ,315395 ,375681 ,856713 ,214086 ,1052703 ,683147 ,1298684 ,396029 ,348355 ,3269249 ,103611 ,1774327 ,742938 ,423731 ,6206808 ,5706943 ,4723881 ,878258 ,3594945 ,6132138 ,6954335 ,5774272 ,3499328 ,2990201 ,1896715 ,982584 ,1578254 ,386604 ,72417 ,64141070 ,3555694 ,0 ,0 ,0 ,0 ,0 ,8784508 ,12340202 ,76481272 
"Public administration, defense, and social security services",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21016 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2131376 ,2152392 ,1354851 ,119834041 ,0 ,0 ,0 ,0 ,37565 ,121226457 ,123378849 
Education services,2862 ,725 ,24389 ,7782 ,15484 ,25366 ,93200 ,17210 ,65082 ,72513 ,47525 ,47995 ,59351 ,43145 ,2756 ,124470 ,17633 ,9938 ,44229 ,536398 ,45674 ,48941 ,82624 ,260907 ,63614 ,226136 ,38636 ,5013 ,50252 ,10978 ,14934 ,57067 ,12287 ,2175116 ,53695329 ,60287050 ,0 ,0 ,0 ,0 ,171152 ,114153531 ,116328647 
Health and social care services,118697 ,11591 ,101231 ,69118 ,70218 ,43251 ,239005 ,52473 ,134160 ,189313 ,162080 ,110939 ,201307 ,273524 ,32313 ,155952 ,55322 ,85198 ,367676 ,1091422 ,190365 ,401202 ,257118 ,523135 ,134343 ,592641 ,200774 ,72800 ,296374 ,621483 ,146304 ,123380 ,14463 ,7139172 ,45232722 ,66877855 ,0 ,0 ,0 ,0 ,370313 ,112480890 ,119620062 
"Art, sports, and leisure services",55773 ,19186 ,61536 ,66849 ,61147 ,54223 ,193183 ,41066 ,162540 ,147242 ,81429 ,67403 ,113273 ,74864 ,18436 ,116812 ,28788 ,45146 ,153290 ,342428 ,611628 ,95042 ,1083839 ,397368 ,126911 ,819481 ,153918 ,47998 ,581673 ,134216 ,1182646 ,203359 ,11854 ,7354547 ,29513101 ,1923311 ,463097 ,0 ,0 ,2512 ,1037209 ,32939230 ,40293777 
Other services,98808 ,20643 ,170562 ,85799 ,81352 ,118941 ,272983 ,102208 ,252233 ,251009 ,546422 ,201741 ,276696 ,202637 ,24963 ,330012 ,62524 ,166752 ,408644 ,1694632 ,2336636 ,366438 ,450529 ,742671 ,228271 ,1310683 ,683706 ,221633 ,926319 ,253872 ,349966 ,381483 ,15994 ,13637762 ,39943660 ,0 ,0 ,0 ,0 ,0 ,611914 ,40555574 ,54193336 
Others,296408 ,11935 ,64205 ,44916 ,53971 ,86337 ,610003 ,30358 ,87686 ,113915 ,180116 ,91340 ,106352 ,78634 ,21396 ,285666 ,71957 ,14890 ,99602 ,232348 ,203653 ,75408 ,200528 ,112066 ,205902 ,131805 ,84435 ,27617 ,23081 ,363718 ,24095 ,33310 ,76357 ,4144010 ,-319847 ,0 ,0 ,0 ,0 ,0 ,11 ,-319836 ,3824174 
Total intermediate input,26232735 ,1959527 ,75777002 ,41329662 ,23412491 ,14894183 ,118735196 ,24051848 ,58208193 ,57809356 ,111848748 ,52418393 ,73101348 ,178798287 ,12264320 ,29478709 ,24714972 ,8661597 ,120024031 ,105548532 ,58352314 ,79425117 ,53904561 ,60585934 ,44128802 ,84115275 ,20705619 ,25639960 ,34272384 ,49046055 ,17063982 ,28537071 ,3822711 ,1718868915 ,720312016 ,250087968 ,353250206 ,68653837 ,6191880 ,1371977 ,714825281 ,2114693165 ,3833562080 
