부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,3.2 ,39.0 ,11.8 ,54.0 ,17.0 ,1.7 ,0.7 ,19.4 ,73.4 
공산품,17.8 ,925.4 ,350.9 ,1294.1 ,182.2 ,138.2 ,610.7 ,931.1 ,2225.2 
서비스,7.2 ,261.6 ,575.3 ,844.1 ,855.7 ,349.8 ,105.5 ,1311.0 ,2155.1 
중간투입계,28.2 ,1226.0 ,938.0 ,2192.2 ,1054.9 ,489.7 ,716.9 ,2261.5 ,4453.7 
피용자보수,5.2 ,176.8 ,568.2 ,750.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
영업잉여,22.5 ,140.1 ,279.0 ,441.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
고정자본소모,4.8 ,114.8 ,190.0 ,309.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
생산세(보조금공제),0.6 ,53.4 ,82.1 ,136.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
부가가치계,33.1 ,485.1 ,1119.3 ,1637.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
총투입액,61.3 ,1711.1 ,2057.3 ,3829.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
