권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
수도권,서울,A,농림수산품,농산품,1,1
수도권,서울,B,광산품,공산품,2,2
수도권,서울,C01,음식료품,공산품,3,2
수도권,서울,C02,섬유 및 가죽제품,공산품,4,2
수도권,서울,C03,"목재 및 종이, 인쇄",공산품,5,2
수도권,서울,C04,석탄 및 석유제품,공산품,6,2
수도권,서울,C05,화학제품,공산품,7,2
수도권,서울,C06,비금속광물제품,공산품,8,2
수도권,서울,C07,1차 금속제품,공산품,9,2
수도권,서울,C08,금속가공제품,공산품,10,2
수도권,서울,C09,"컴퓨터, 전자 및 광학기기",공산품,11,2
수도권,서울,C10,전기장비,공산품,12,2
