권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
충청권,대전,C10,전기장비,공산품,111,5
충청권,대전,C11,기계 및 장비,공산품,112,5
충청권,대전,C12,운송장비,공산품,113,5
충청권,대전,C13,기타 제조업 제품,공산품,114,5
충청권,대전,C14,제조임가공 및 산업용 장비 수리,공산품,115,5
충청권,대전,D,"전력, 가스 및 증기",서비스,116,6
충청권,대전,E,"수도, 폐기물처리 및 재활용서비스",서비스,117,6
충청권,대전,F,건설,서비스,118,6
충청권,대전,G,도소매 및 상품중개서비스,서비스,119,6
충청권,대전,H,운송서비스,서비스,120,6
충청권,대전,I,음식점 및 숙박서비스,서비스,121,6
충청권,대전,J,정보통신 및 방송 서비스,서비스,122,6
충청권,대전,K,금융 및 보험 서비스,서비스,123,6
충청권,대전,L,부동산서비스,서비스,124,6
충청권,대전,M,"전문, 과학 및 기술 서비스",서비스,125,6
충청권,대전,N,사업지원서비스,서비스,126,6
충청권,대전,O,"공공행정, 국방 및 사회보장",서비스,127,6
충청권,대전,P,교육서비스,서비스,128,6
충청권,대전,Q,보건 및 사회복지 서비스,서비스,129,6
충청권,대전,R,"예술, 스포츠 및 여가 관련 서비스",서비스,130,6
충청권,대전,S,기타 서비스,서비스,131,6
충청권,대전,T,기타,서비스,132,6
충청권,세종,A,농림수산품,농산품,133,4
충청권,세종,B,광산품,공산품,134,5
충청권,세종,C01,음식료품,공산품,135,5
충청권,세종,C02,섬유 및 가죽제품,공산품,136,5
충청권,세종,C03,"목재 및 종이, 인쇄",공산품,137,5
충청권,세종,C04,석탄 및 석유제품,공산품,138,5
충청권,세종,C05,화학제품,공산품,139,5
충청권,세종,C06,비금속광물제품,공산품,140,5
충청권,세종,C07,1차 금속제품,공산품,141,5
충청권,세종,C08,금속가공제품,공산품,142,5
충청권,세종,C09,"컴퓨터, 전자 및 광학기기",공산품,143,5
충청권,세종,C10,전기장비,공산품,144,5
충청권,세종,C11,기계 및 장비,공산품,145,5
충청권,세종,C12,운송장비,공산품,146,5
충청권,세종,C13,기타 제조업 제품,공산품,147,5
충청권,세종,C14,제조임가공 및 산업용 장비 수리,공산품,148,5
충청권,세종,D,"전력, 가스 및 증기",서비스,149,6
충청권,세종,E,"수도, 폐기물처리 및 재활용서비스",서비스,150,6
충청권,세종,F,건설,서비스,151,6
충청권,세종,G,도소매 및 상품중개서비스,서비스,152,6
충청권,세종,H,운송서비스,서비스,153,6
충청권,세종,I,음식점 및 숙박서비스,서비스,154,6
충청권,세종,J,정보통신 및 방송 서비스,서비스,155,6
충청권,세종,K,금융 및 보험 서비스,서비스,156,6
충청권,세종,L,부동산서비스,서비스,157,6
충청권,세종,M,"전문, 과학 및 기술 서비스",서비스,158,6
충청권,세종,N,사업지원서비스,서비스,159,6
충청권,세종,O,"공공행정, 국방 및 사회보장",서비스,160,6
충청권,세종,P,교육서비스,서비스,161,6
충청권,세종,Q,보건 및 사회복지 서비스,서비스,162,6
충청권,세종,R,"예술, 스포츠 및 여가 관련 서비스",서비스,163,6
충청권,세종,S,기타 서비스,서비스,164,6
충청권,세종,T,기타,서비스,165,6
충청권,충북,A,농림수산품,농산품,166,4
충청권,충북,B,광산품,공산품,167,5
충청권,충북,C01,음식료품,공산품,168,5
충청권,충북,C02,섬유 및 가죽제품,공산품,169,5
충청권,충북,C03,"목재 및 종이, 인쇄",공산품,170,5
충청권,충북,C04,석탄 및 석유제품,공산품,171,5
충청권,충북,C05,화학제품,공산품,172,5
충청권,충북,C06,비금속광물제품,공산품,173,5
충청권,충북,C07,1차 금속제품,공산품,174,5
충청권,충북,C08,금속가공제품,공산품,175,5
충청권,충북,C09,"컴퓨터, 전자 및 광학기기",공산품,176,5
충청권,충북,C10,전기장비,공산품,177,5
충청권,충북,C11,기계 및 장비,공산품,178,5
충청권,충북,C12,운송장비,공산품,179,5
충청권,충북,C13,기타 제조업 제품,공산품,180,5
충청권,충북,C14,제조임가공 및 산업용 장비 수리,공산품,181,5
충청권,충북,D,"전력, 가스 및 증기",서비스,182,6
충청권,충북,E,"수도, 폐기물처리 및 재활용서비스",서비스,183,6
충청권,충북,F,건설,서비스,184,6
충청권,충북,G,도소매 및 상품중개서비스,서비스,185,6
충청권,충북,H,운송서비스,서비스,186,6
충청권,충북,I,음식점 및 숙박서비스,서비스,187,6
충청권,충북,J,정보통신 및 방송 서비스,서비스,188,6
충청권,충북,K,금융 및 보험 서비스,서비스,189,6
충청권,충북,L,부동산서비스,서비스,190,6
충청권,충북,M,"전문, 과학 및 기술 서비스",서비스,191,6
충청권,충북,N,사업지원서비스,서비스,192,6
충청권,충북,O,"공공행정, 국방 및 사회보장",서비스,193,6
충청권,충북,P,교육서비스,서비스,194,6
충청권,충북,Q,보건 및 사회복지 서비스,서비스,195,6
충청권,충북,R,"예술, 스포츠 및 여가 관련 서비스",서비스,196,6
충청권,충북,S,기타 서비스,서비스,197,6
충청권,충북,T,기타,서비스,198,6
충청권,충남,A,농림수산품,농산품,199,4
충청권,충남,B,광산품,공산품,200,5
충청권,충남,C01,음식료품,공산품,201,5
충청권,충남,C02,섬유 및 가죽제품,공산품,202,5
충청권,충남,C03,"목재 및 종이, 인쇄",공산품,203,5
충청권,충남,C04,석탄 및 석유제품,공산품,204,5
충청권,충남,C05,화학제품,공산품,205,5
충청권,충남,C06,비금속광물제품,공산품,206,5
충청권,충남,C07,1차 금속제품,공산품,207,5
충청권,충남,C08,금속가공제품,공산품,208,5
충청권,충남,C09,"컴퓨터, 전자 및 광학기기",공산품,209,5
충청권,충남,C10,전기장비,공산품,210,5
충청권,충남,C11,기계 및 장비,공산품,211,5
충청권,충남,C12,운송장비,공산품,212,5
충청권,충남,C13,기타 제조업 제품,공산품,213,5
충청권,충남,C14,제조임가공 및 산업용 장비 수리,공산품,214,5
충청권,충남,D,"전력, 가스 및 증기",서비스,215,6
충청권,충남,E,"수도, 폐기물처리 및 재활용서비스",서비스,216,6
충청권,충남,F,건설,서비스,217,6
충청권,충남,G,도소매 및 상품중개서비스,서비스,218,6
충청권,충남,H,운송서비스,서비스,219,6
충청권,충남,I,음식점 및 숙박서비스,서비스,220,6
충청권,충남,J,정보통신 및 방송 서비스,서비스,221,6
충청권,충남,K,금융 및 보험 서비스,서비스,222,6
충청권,충남,L,부동산서비스,서비스,223,6
충청권,충남,M,"전문, 과학 및 기술 서비스",서비스,224,6
충청권,충남,N,사업지원서비스,서비스,225,6
충청권,충남,O,"공공행정, 국방 및 사회보장",서비스,226,6
충청권,충남,P,교육서비스,서비스,227,6
충청권,충남,Q,보건 및 사회복지 서비스,서비스,228,6
충청권,충남,R,"예술, 스포츠 및 여가 관련 서비스",서비스,229,6
충청권,충남,S,기타 서비스,서비스,230,6
충청권,충남,T,기타,서비스,231,6
서남권,광주,A,농림수산품,농산품,232,4
서남권,광주,B,광산품,공산품,233,5
서남권,광주,C01,음식료품,공산품,234,5
서남권,광주,C02,섬유 및 가죽제품,공산품,235,5
서남권,광주,C03,"목재 및 종이, 인쇄",공산품,236,5
서남권,광주,C04,석탄 및 석유제품,공산품,237,5
서남권,광주,C05,화학제품,공산품,238,5
서남권,광주,C06,비금속광물제품,공산품,239,5
서남권,광주,C07,1차 금속제품,공산품,240,5
서남권,광주,C08,금속가공제품,공산품,241,5
서남권,광주,C09,"컴퓨터, 전자 및 광학기기",공산품,242,5
서남권,광주,C10,전기장비,공산품,243,5
서남권,광주,C11,기계 및 장비,공산품,244,5
서남권,광주,C12,운송장비,공산품,245,5
서남권,광주,C13,기타 제조업 제품,공산품,246,5
서남권,광주,C14,제조임가공 및 산업용 장비 수리,공산품,247,5
서남권,광주,D,"전력, 가스 및 증기",서비스,248,6
서남권,광주,E,"수도, 폐기물처리 및 재활용서비스",서비스,249,6
서남권,광주,F,건설,서비스,250,6
서남권,광주,G,도소매 및 상품중개서비스,서비스,251,6
서남권,광주,H,운송서비스,서비스,252,6
서남권,광주,I,음식점 및 숙박서비스,서비스,253,6
서남권,광주,J,정보통신 및 방송 서비스,서비스,254,6
서남권,광주,K,금융 및 보험 서비스,서비스,255,6
서남권,광주,L,부동산서비스,서비스,256,6
서남권,광주,M,"전문, 과학 및 기술 서비스",서비스,257,6
서남권,광주,N,사업지원서비스,서비스,258,6
서남권,광주,O,"공공행정, 국방 및 사회보장",서비스,259,6
서남권,광주,P,교육서비스,서비스,260,6
서남권,광주,Q,보건 및 사회복지 서비스,서비스,261,6
서남권,광주,R,"예술, 스포츠 및 여가 관련 서비스",서비스,262,6
서남권,광주,S,기타 서비스,서비스,263,6
서남권,광주,T,기타,서비스,264,6
서남권,전북,A,농림수산품,농산품,265,4
서남권,전북,B,광산품,공산품,266,5
서남권,전북,C01,음식료품,공산품,267,5
서남권,전북,C02,섬유 및 가죽제품,공산품,268,5
서남권,전북,C03,"목재 및 종이, 인쇄",공산품,269,5
서남권,전북,C04,석탄 및 석유제품,공산품,270,5
서남권,전북,C05,화학제품,공산품,271,5
서남권,전북,C06,비금속광물제품,공산품,272,5
서남권,전북,C07,1차 금속제품,공산품,273,5
서남권,전북,C08,금속가공제품,공산품,274,5
서남권,전북,C09,"컴퓨터, 전자 및 광학기기",공산품,275,5
서남권,전북,C10,전기장비,공산품,276,5
서남권,전북,C11,기계 및 장비,공산품,277,5
서남권,전북,C12,운송장비,공산품,278,5
서남권,전북,C13,기타 제조업 제품,공산품,279,5
서남권,전북,C14,제조임가공 및 산업용 장비 수리,공산품,280,5
서남권,전북,D,"전력, 가스 및 증기",서비스,281,6
서남권,전북,E,"수도, 폐기물처리 및 재활용서비스",서비스,282,6
서남권,전북,F,건설,서비스,283,6
서남권,전북,G,도소매 및 상품중개서비스,서비스,284,6
서남권,전북,H,운송서비스,서비스,285,6
서남권,전북,I,음식점 및 숙박서비스,서비스,286,6
서남권,전북,J,정보통신 및 방송 서비스,서비스,287,6
서남권,전북,K,금융 및 보험 서비스,서비스,288,6
서남권,전북,L,부동산서비스,서비스,289,6
