bb,"Agricultural, forest, and fishery goods",Mined and quarried goods,"Food, beverages and tobacco products",Textile and leather products,"Wood and paper products, printing and reproduction of recorded media ",Petroleum and coal products,Chemical products,Non-metallic mineral products,Basic metal products,"Fabricated metal products, except machinery and furniture ","Computing machinery, electronic equipment and optical instruments",Electrical equipment,Machinery and equipment,Transport equipment,Other manufactured products,Manufacturing services and repair services of industrial equipment,"Electricity, gas, and steam supply","Water supply, sewage and waste treatment and disposal services",Construction,Wholesale and retail trade and commodity brokerage services,Transportation,Food services and accommodation,Communications and broadcasting,Finance and insurance,Real estate services,"Professional, scientific, and technical services",Business support services,"Public administration, defense, and social security services",Education services,Health and social care services,"Art, sports, and leisure services",Other services,Others,Total intermediate demand,Private final consumption expenditure (Households and NPISH),Government final consumption expenditure,Private gross fixed capital formation,Government gross fixed capital formation,Changes in inventories,Acquisitions less disposals of valuables,Exports,Total final demand,Total demand
"Computing machinery, electronic equipment and optical instruments",752 ,26 ,574 ,1415 ,16675 ,7367 ,73797 ,14514 ,16670 ,33372 ,51971148 ,2393226 ,1367597 ,3394453 ,12313 ,165026 ,116222 ,5572 ,197926 ,78040 ,75529 ,13644 ,2831785 ,130097 ,36979 ,1647823 ,57390 ,242881 ,413264 ,1166955 ,21443 ,301692 ,0 ,66806167 ,8184351 ,0 ,11996642 ,815342 ,243453 ,0 ,415108 ,21654896 ,88461063 
Electrical equipment,151 ,13 ,80 ,1930 ,242 ,1240 ,35995 ,6931 ,48987 ,69635 ,2831236 ,4847952 ,1117706 ,2957998 ,12499 ,135293 ,276713 ,367 ,1124567 ,5865 ,93809 ,17471 ,33046 ,285 ,3342 ,144565 ,27788 ,37647 ,5115 ,8577 ,10082 ,138309 ,0 ,13995436 ,1327595 ,0 ,3022414 ,45103 ,63676 ,0 ,17307 ,4476095 ,18471531 
Machinery and equipment,6106 ,2490 ,25874 ,41998 ,5306 ,36772 ,271497 ,20523 ,107035 ,319298 ,663569 ,413352 ,9224860 ,3618153 ,8176 ,423985 ,196679 ,15372 ,1030590 ,57779 ,70739 ,2037 ,9792 ,9409 ,5572 ,149484 ,20935 ,54219 ,2784 ,13920 ,805 ,21735 ,0 ,16850845 ,337434 ,0 ,21493616 ,77659 ,47840 ,0 ,0 ,21956549 ,38807394 
Transport equipment,850 ,98 ,0 ,461 ,18 ,31 ,18284 ,3941 ,4432 ,17380 ,7377 ,28334 ,92905 ,6154227 ,794 ,3173 ,1814 ,624 ,446 ,7510 ,1884300 ,4058 ,4137 ,0 ,18 ,140928 ,7497 ,283423 ,3275 ,717 ,489 ,384219 ,0 ,9055760 ,7377217 ,0 ,11849056 ,1325238 ,260556 ,0 ,0 ,20812067 ,29867827 
Other manufactured products,77 ,9 ,6940 ,263243 ,2400 ,376 ,8720 ,246 ,583 ,2497 ,7457 ,1257 ,1307 ,26547 ,566258 ,18933 ,722 ,7804 ,154469 ,87838 ,15099 ,72086 ,20939 ,29418 ,3705 ,46661 ,37584 ,21441 ,323734 ,53062 ,173121 ,18325 ,0 ,1972858 ,3657063 ,0 ,771230 ,38932 ,111207 ,411062 ,112785 ,5102279 ,7075137 
Manufacturing services and repair services of industrial equipment,132 ,0 ,7337 ,6806655 ,8622 ,2880 ,175179 ,2119 ,16608 ,63451 ,1793036 ,635761 ,42314 ,59907 ,140940 ,0 ,23 ,3 ,1 ,49466 ,489 ,271 ,4664 ,6680 ,9 ,16985 ,14384 ,7688 ,137 ,147 ,1844 ,2 ,0 ,9857734 ,80 ,0 ,0 ,0 ,0 ,0 ,0 ,80 ,9857814 
"Electricity, gas, and steam supply",2 ,1 ,52 ,329 ,98 ,3431 ,4699 ,35 ,1640 ,368 ,9386 ,615 ,449 ,7805 ,5 ,9 ,4 ,3 ,0 ,950 ,80 ,188 ,184 ,174 ,174 ,778 ,498 ,7253 ,28 ,3 ,107 ,1 ,0 ,39349 ,65851 ,0 ,0 ,0 ,0 ,0 ,0 ,65851 ,105200 
"Water supply, sewage and waste treatment and disposal services",11 ,0 ,36 ,17 ,10 ,77 ,388 ,9 ,112 ,49 ,245 ,18 ,42 ,850 ,1 ,3 ,32 ,83 ,5 ,511 ,39 ,286 ,45 ,94 ,177 ,187 ,126 ,651 ,96 ,244 ,46 ,35 ,0 ,4525 ,16766 ,0 ,0 ,0 ,0 ,0 ,0 ,16766 ,21291 
Construction,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,13 ,0 ,0 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42833 ,0 ,0 ,0 ,0 ,0 ,42855 ,0 ,0 ,0 ,16539 ,0 ,0 ,0 ,16539 ,59394 
Wholesale and retail trade and commodity brokerage services,7092 ,477 ,74678 ,170087 ,31948 ,309137 ,459487 ,19651 ,269553 ,60080 ,826850 ,142572 ,209588 ,524874 ,16248 ,4441 ,52995 ,395 ,27197 ,82923 ,27938 ,17779 ,10273 ,641 ,253 ,9959 ,1178 ,3042 ,3263 ,21500 ,1206 ,4206 ,0 ,3391511 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3391511 
Transportation,184400 ,5064 ,32699 ,18078 ,6229 ,10195 ,93568 ,21348 ,39826 ,36621 ,85036 ,20046 ,41058 ,46727 ,3078 ,15109 ,1677 ,20653 ,6987 ,583383 ,15470980 ,8090 ,28204 ,45949 ,4904 ,89690 ,66540 ,157548 ,13436 ,9276 ,9495 ,9990 ,0 ,17185884 ,6246877 ,0 ,0 ,0 ,0 ,0 ,0 ,6246877 ,23432761 
Food services and accommodation,22405 ,1969 ,13786 ,13362 ,13073 ,10249 ,49723 ,10551 ,25670 ,22660 ,31958 ,13087 ,28780 ,32625 ,3481 ,25417 ,6737 ,7808 ,18888 ,229837 ,225767 ,33531 ,107801 ,121966 ,22898 ,227455 ,77590 ,124282 ,147932 ,51662 ,52332 ,102124 ,114 ,1877520 ,11680866 ,0 ,0 ,0 ,0 ,0 ,0 ,11680866 ,13558386 
Communications and broadcasting,6283 ,297 ,4134 ,4911 ,6637 ,12183 ,18291 ,2662 ,19112 ,8028 ,52496 ,7306 ,11611 ,25889 ,804 ,11858 ,5045 ,7360 ,12557 ,132079 ,58812 ,4950 ,2122792 ,349306 ,8745 ,415471 ,31389 ,140928 ,79857 ,15440 ,71345 ,16797 ,1279 ,3666654 ,1486029 ,0 ,768077 ,10654 ,2383 ,0 ,0 ,2267143 ,5933797 
Finance and insurance,14427 ,2198 ,19898 ,12929 ,11960 ,8364 ,44106 ,10697 ,23803 ,25335 ,43382 ,21032 ,32704 ,50556 ,5173 ,12887 ,12436 ,7680 ,96138 ,144443 ,38363 ,28978 ,33533 ,1077831 ,392779 ,60258 ,11576 ,67430 ,27372 ,52162 ,17080 ,24350 ,0 ,2431860 ,704737 ,0 ,0 ,0 ,0 ,0 ,0 ,704737 ,3136597 
Real estate services,45 ,12 ,2138 ,4225 ,1073 ,13124 ,39705 ,279 ,1757 ,1398 ,26086 ,7470 ,7499 ,74432 ,694 ,131 ,43 ,55 ,1132 ,377143 ,16273 ,39207 ,23379 ,20736 ,3245 ,114773 ,42407 ,362392 ,1507 ,2519 ,8319 ,1738 ,0 ,1194936 ,589893 ,0 ,0 ,0 ,0 ,0 ,0 ,589893 ,1784829 
"Professional, scientific, and technical services",19398 ,1944 ,252434 ,127223 ,74445 ,286568 ,1229164 ,64706 ,632228 ,207443 ,2517458 ,482052 ,512539 ,2085183 ,40893 ,11972 ,83594 ,22838 ,1135253 ,1788929 ,326440 ,157166 ,1918043 ,984773 ,80158 ,2072683 ,343576 ,206245 ,114089 ,49891 ,164545 ,44758 ,16 ,18038647 ,5748 ,0 ,5652111 ,263196 ,0 ,0 ,0 ,5921055 ,23959702 
Business support services,19188 ,3574 ,51617 ,56297 ,56220 ,167037 ,262414 ,19422 ,307934 ,90189 ,441441 ,115523 ,93538 ,868316 ,12559 ,97744 ,82799 ,94537 ,122964 ,1938022 ,2729646 ,122190 ,897639 ,1260895 ,363334 ,1105093 ,1342128 ,142012 ,127588 ,90575 ,259656 ,28310 ,0 ,13370401 ,345575 ,0 ,0 ,0 ,0 ,0 ,0 ,345575 ,13715976 
"Public administration, defense, and social security services",96380 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,509260 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,605640 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,605640 
Education services,6 ,0 ,78 ,40 ,53 ,300 ,293 ,37 ,139 ,97 ,161 ,62 ,107 ,185 ,9 ,419 ,55 ,40 ,124 ,1908 ,108 ,141 ,271 ,889 ,61 ,468 ,101 ,0 ,159 ,48 ,29 ,209 ,0 ,6597 ,2322148 ,0 ,0 ,0 ,0 ,0 ,0 ,2322148 ,2328745 
Health and social care services,1258 ,2 ,84 ,69 ,53 ,8 ,289 ,64 ,41 ,132 ,102 ,68 ,177 ,198 ,23 ,57 ,37 ,32 ,171 ,1630 ,128 ,229 ,282 ,694 ,24 ,583 ,261 ,808 ,355 ,1333 ,127 ,59 ,0 ,9378 ,766938 ,0 ,0 ,0 ,0 ,0 ,0 ,766938 ,776316 
"Art, sports, and leisure services",302 ,65 ,516 ,557 ,516 ,280 ,3080 ,357 ,1212 ,858 ,1345 ,338 ,1154 ,1516 ,83 ,1067 ,278 ,393 ,915 ,13240 ,3056 ,1069 ,181417 ,9962 ,1199 ,26585 ,3403 ,8583 ,2426 ,1766 ,45406 ,7949 ,0 ,320893 ,4000785 ,0 ,14541 ,0 ,0 ,25131 ,0 ,4040457 ,4361350 
Other services,3466 ,244 ,2845 ,1064 ,1939 ,8159 ,15937 ,971 ,4872 ,3909 ,48829 ,9706 ,10296 ,28257 ,440 ,4196 ,2884 ,1266 ,4391 ,92457 ,7010 ,5169 ,14549 ,9243 ,10481 ,28539 ,11224 ,4019 ,3345 ,2082 ,3494 ,15757 ,53 ,361093 ,268235 ,0 ,0 ,0 ,0 ,0 ,0 ,268235 ,629328 
Others,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 
Total intermediate input,1880645 ,28182 ,15719273 ,22650119 ,6130758 ,61369479 ,55812562 ,3167583 ,41523335 ,6509578 ,76449217 ,14077403 ,15145004 ,29543938 ,2251112 ,1648841 ,33946215 ,296280 ,10061254 ,6718724 ,28110941 ,6955801 ,8491395 ,4109141 ,971740 ,7399992 ,2341326 ,2247885 ,1635265 ,7430907 ,1007337 ,1609802 ,1463 ,477242497 ,84500336 ,0 ,55902693 ,3194991 ,498733 ,537217 ,2125896 ,146759866 ,624002363 
