부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,2.9,30.8,11.1,44.8,14.1,1.7,0.7,16.5,61.3
공산품,16.6,597.5,274.5,888.6,129.1,84.8,608.6,822.5,1711.1
서비스,6.8,245.7,529.1,781.6,827.2,343,105.5,1275.7,2057.3
중간투입계,26.3,874,814.7,1715,970.4,429.5,714.8,2114.7,3829.7
