cons,old,new
BLR_C27,288,8
BLR_C28,289,8
BLR_C29,290,8
BLR_C30,291,8
BLR_C31T33,292,8
BLR_D,293,9
BLR_E,294,9
BLR_F,295,9
BLR_G,296,9
BLR_H49,297,9
BLR_H50,298,9
BLR_H51,299,9
BLR_H52,300,9
BLR_H53,301,9
BLR_I,302,9
BLR_J58T60,303,9
BLR_J61,304,9
BLR_J62_63,305,9
BLR_K,306,9
BLR_L,307,9
BLR_M,308,9
BLR_N,309,9
BLR_O,310,9
BLR_P,311,9
BLR_Q,312,9
BLR_R,313,9
BLR_S,314,9
BLR_T,315,9
BRA_A01_02,316,7
BRA_A03,317,7
BRA_B05_06,318,8
BRA_B07_08,319,8
BRA_B09,320,8
BRA_C10T12,321,8
BRA_C13T15,322,8
BRA_C16,323,8
BRA_C17_18,324,8
BRA_C19,325,8
BRA_C20,326,8
BRA_C21,327,8
BRA_C22,328,8
BRA_C23,329,8
BRA_C24,330,8
BRA_C25,331,8
BRA_C26,332,8
BRA_C27,333,8
BRA_C28,334,8
BRA_C29,335,8
BRA_C30,336,8
BRA_C31T33,337,8
BRA_D,338,9
BRA_E,339,9
BRA_F,340,9
BRA_G,341,9
BRA_H49,342,9
BRA_H50,343,9
BRA_H51,344,9
BRA_H52,345,9
BRA_H53,346,9
BRA_I,347,9
BRA_J58T60,348,9
BRA_J61,349,9
BRA_J62_63,350,9
BRA_K,351,9
BRA_L,352,9
BRA_M,353,9
BRA_N,354,9
BRA_O,355,9
BRA_P,356,9
BRA_Q,357,9
BRA_R,358,9
BRA_S,359,9
BRA_T,360,9
BRN_A01_02,361,7
BRN_A03,362,7
BRN_B05_06,363,8
BRN_B07_08,364,8
BRN_B09,365,8
BRN_C10T12,366,8
BRN_C13T15,367,8
BRN_C16,368,8
BRN_C17_18,369,8
BRN_C19,370,8
BRN_C20,371,8
BRN_C21,372,8
BRN_C22,373,8
BRN_C23,374,8
BRN_C24,375,8
BRN_C25,376,8
BRN_C26,377,8
BRN_C27,378,8
BRN_C28,379,8
BRN_C29,380,8
BRN_C30,381,8
BRN_C31T33,382,8
BRN_D,383,9
BRN_E,384,9
BRN_F,385,9
BRN_G,386,9
BRN_H49,387,9
BRN_H50,388,9
BRN_H51,389,9
BRN_H52,390,9
BRN_H53,391,9
BRN_I,392,9
BRN_J58T60,393,9
BRN_J61,394,9
BRN_J62_63,395,9
BRN_K,396,9
BRN_L,397,9
BRN_M,398,9
BRN_N,399,9
BRN_O,400,9
BRN_P,401,9
BRN_Q,402,9
BRN_R,403,9
BRN_S,404,9
BRN_T,405,9
CAN_A01_02,406,7
CAN_A03,407,7
CAN_B05_06,408,8
CAN_B07_08,409,8
CAN_B09,410,8
CAN_C10T12,411,8
CAN_C13T15,412,8
CAN_C16,413,8
CAN_C17_18,414,8
CAN_C19,415,8
CAN_C20,416,8
CAN_C21,417,8
CAN_C22,418,8
CAN_C23,419,8
CAN_C24,420,8
CAN_C25,421,8
CAN_C26,422,8
CAN_C27,423,8
CAN_C28,424,8
CAN_C29,425,8
CAN_C30,426,8
CAN_C31T33,427,8
CAN_D,428,9
CAN_E,429,9
CAN_F,430,9
CAN_G,431,9
CAN_H49,432,9
CAN_H50,433,9
CAN_H51,434,9
CAN_H52,435,9
CAN_H53,436,9
CAN_I,437,9
CAN_J58T60,438,9
CAN_J61,439,9
CAN_J62_63,440,9
CAN_K,441,9
CAN_L,442,9
CAN_M,443,9
CAN_N,444,9
CAN_O,445,9
CAN_P,446,9
CAN_Q,447,9
CAN_R,448,9
CAN_S,449,9
CAN_T,450,9
CHE_A01_02,451,7
CHE_A03,452,7
CHE_B05_06,453,8
CHE_B07_08,454,8
CHE_B09,455,8
CHE_C10T12,456,8
CHE_C13T15,457,8
CHE_C16,458,8
CHE_C17_18,459,8
CHE_C19,460,8
CHE_C20,461,8
CHE_C21,462,8
CHE_C22,463,8
CHE_C23,464,8
CHE_C24,465,8
CHE_C25,466,8
CHE_C26,467,8
CHE_C27,468,8
CHE_C28,469,8
CHE_C29,470,8
CHE_C30,471,8
CHE_C31T33,472,8
CHE_D,473,9
CHE_E,474,9
CHE_F,475,9
CHE_G,476,9
CHE_H49,477,9
CHE_H50,478,9
CHE_H51,479,9
CHE_H52,480,9
CHE_H53,481,9
CHE_I,482,9
CHE_J58T60,483,9
CHE_J61,484,9
CHE_J62_63,485,9
CHE_K,486,9
CHE_L,487,9
CHE_M,488,9
CHE_N,489,9
CHE_O,490,9
CHE_P,491,9
CHE_Q,492,9
CHE_R,493,9
CHE_S,494,9
CHE_T,495,9
CHL_A01_02,496,7
CHL_A03,497,7
CHL_B05_06,498,8
CHL_B07_08,499,8
CHL_B09,500,8
CHL_C10T12,501,8
CHL_C13T15,502,8
CHL_C16,503,8
CHL_C17_18,504,8
CHL_C19,505,8
CHL_C20,506,8
CHL_C21,507,8
CHL_C22,508,8
CHL_C23,509,8
CHL_C24,510,8
CHL_C25,511,8
CHL_C26,512,8
CHL_C27,513,8
CHL_C28,514,8
CHL_C29,515,8
CHL_C30,516,8
CHL_C31T33,517,8
CHL_D,518,9
CHL_E,519,9
CHL_F,520,9
CHL_G,521,9
CHL_H49,522,9
CHL_H50,523,9
CHL_H51,524,9
CHL_H52,525,9
CHL_H53,526,9
CHL_I,527,9
CHL_J58T60,528,9
CHL_J61,529,9
CHL_J62_63,530,9
CHL_K,531,9
CHL_L,532,9
CHL_M,533,9
CHL_N,534,9
CHL_O,535,9
CHL_P,536,9
CHL_Q,537,9
CHL_R,538,9
CHL_S,539,9
CHL_T,540,9
CHN_A01_02,541,4
CHN_A03,542,4
CHN_B05_06,543,5
CHN_B07_08,544,5
CHN_B09,545,5
CHN_C10T12,546,5
CHN_C13T15,547,5
CHN_C16,548,5
CHN_C17_18,549,5
CHN_C19,550,5
CHN_C20,551,5
CHN_C21,552,5
CHN_C22,553,5
CHN_C23,554,5
