부문,농산품,공산품,서비스,중간수요계,소비,투자,수출,최종수요계,총수요계
농산품,0.4,6.7,0.6,7.7,2.1,0.1,0,2.2,9.9
공산품,1,262.9,61.2,325.1,38.1,53.8,0,91.9,417
서비스,0.4,11.2,36.7,48.3,22.1,2,0,24.1,72.4
중간투입계,1.8,280.8,98.5,381.1,62.3,55.9,0,118.2,499.3
